GO ID	DB Object Symbol
GO:1900101	PIGBOS1
GO:0002250	IGKV6-21
GO:0002250	IGKV3D-20
GO:0002250	IGKV6D-41
GO:0002250	TRGV8
GO:0045087	TRGV8
GO:0002250	TRGV4
GO:0045087	TRGV4
GO:0002250	IGKV3D-7
GO:0002250	TRBV5-4
GO:0002250	IGHJ1
GO:0002250	IGKV1-8
GO:0002250	IGKV2-24
GO:0002250	IGKV1-9
GO:0002250	IGKV1-6
GO:0002250	IGKV1-12
GO:0001649	MT-RNR1
GO:0006357	MT-RNR1
GO:0032147	MT-RNR1
GO:0033687	MT-RNR1
GO:0043610	MT-RNR1
GO:0048630	MT-RNR1
GO:0071902	MT-RNR1
GO:0072522	MT-RNR1
GO:2001145	MT-RNR1
GO:0007162	MUC21
GO:0006955	CCL4L2
GO:0007165	CCL4L2
GO:0060326	CCL4L2
GO:0008284	PRAMEF33
GO:0043066	PRAMEF33
GO:0045596	PRAMEF33
GO:0045892	PRAMEF33
GO:0010951	A0A0G2JMS6
GO:0010951	A0A0G2JMS6
GO:0007186	A0A0G2JNH3
GO:0050911	A0A0G2JNH3
GO:0008284	A0A0G2JP20
GO:0043066	A0A0G2JP20
GO:0045596	A0A0G2JP20
GO:0045892	A0A0G2JP20
GO:0002250	IGLV5-39
GO:0002250	TRBJ1-3
GO:0002250	TRBJ1-6
GO:0002250	TRBJ1-2
GO:0002250	TRBV6-9
GO:0002250	TRBJ1-1
GO:0002250	TRBJ1-4
GO:0002250	TRBJ1-5
GO:0002250	TRBV6-2
GO:0002250	TRBV10-1
GO:0002250	TRBV6-5
GO:0002250	TRBV30
GO:0002250	TRBV11-1
GO:0002250	TRBV27
GO:0002250	TRBV6-1
GO:0002250	TRBV7-7
GO:0002250	TRBV10-3
GO:0002250	TRBV10-2
GO:0030593	CD300H
GO:0000956	NBDY
GO:0006397	NBDY
GO:0010607	NBDY
GO:0007186	OR4M2B
GO:0050911	OR4M2B
GO:0007186	OR2A2
GO:0050911	OR2A2
GO:0007186	OR2A25
GO:0050911	OR2A25
GO:0031424	LCE6A
GO:0032469	TUNAR
GO:0035774	TUNAR
GO:0045665	TUNAR
GO:0048812	TUNAR
GO:0051480	TUNAR
GO:0007520	MYMX
GO:0007520	MYMX
GO:0014905	MYMX
GO:0043403	MYMX
GO:0045026	MYMX
GO:0060538	MYMX
GO:0006508	CIROP
GO:0007155	CIROP
GO:0061966	CIROP
GO:0006468	A0A1B0GUL7
GO:0006508	PRSS51
GO:0043416	SPAAR
GO:0071230	SPAAR
GO:1904262	SPAAR
GO:0002250	TRBV7-6
GO:0002250	TRBV6-4
GO:0002250	TRBV7-8
GO:0002250	TRDV1
GO:0045087	TRDV1
GO:0002250	TRBV2
GO:0002250	TRBV12-5
GO:0002250	TRBV7-4
GO:0002250	TRBV7-2
GO:0060079	CHRNA7
GO:0060079	CHRNA7
GO:0045893	TAF11L5
GO:0016570	KDM4F
GO:0016570	KDM4F
GO:0045893	TAF11L4
GO:0045893	TAF11L13
GO:0045893	TAF11L14
GO:0045893	TAF11L12
GO:0045893	TAF11L11
GO:0006355	ZNF722
GO:0045892	TLE7
GO:0045893	TAF11L9
GO:0035883	PERCC1
GO:0048546	PERCC1
GO:0009966	IGBP1P2
GO:0045893	LINC02218
GO:0045893	TAF11L3
GO:0007186	OR1R1P
GO:0006412	RPS27AP5
GO:0050911	OR5D3P
GO:0007165	A0A2R8Y747
GO:0006355	A0A2R8YD15
GO:0006983	A0A2R8YD15
GO:0007605	A0A2R8YD15
GO:0009611	A0A2R8YD15
GO:0010467	A0A2R8YD15
GO:0030968	A0A2R8YD15
GO:0036119	A0A2R8YD15
GO:0045599	A0A2R8YD15
GO:0060840	A0A2R8YD15
GO:0070059	A0A2R8YD15
GO:1904738	A0A2R8YD15
GO:1990874	A0A2R8YD15
GO:0007186	OR5BS1P
GO:0050911	OR5BS1P
GO:0007186	A0A2R8YEG4
GO:0050911	A0A2R8YEG4
GO:0007186	A0A2R8YEH3
GO:0050911	A0A2R8YEH3
GO:0007186	OR2A42
GO:0050911	OR2A42
GO:0035556	A0A2R8YF49
GO:0050790	A0A2R8YF49
GO:0035556	A0A2R8YFR7
GO:0006355	FOXO3B
GO:0031424	LCE7A
GO:0007186	OR51C1P
GO:0050911	OR51C1P
GO:0106005	RAMACL
GO:0000122	LINC-PINT
GO:0045737	SPDYE21
GO:0045737	SPDYE13
GO:0045737	SPDYE9
GO:0006334	TSPY9
GO:0007283	TSPY9
GO:0007506	TSPY9
GO:0030154	TSPY9
GO:0007165	A0A499FJF3
GO:0007186	OR2A14
GO:0050911	OR2A14
GO:0002250	TRBV4-2
GO:0002250	TRBV3-1
GO:0002250	TRBV4-1
GO:0002250	TRBV5-1
GO:0002250	TRBV11-2
GO:0002250	TRBV4-3
GO:0007264	ARHGEF18
GO:0050790	ARHGEF18
GO:0002250	TRBV5-5
GO:0002250	TRBV5-6
GO:0002250	TRBV5-8
GO:0002250	TRBV11-3
GO:0002250	TRBV14
GO:0002250	TRBV28
GO:0002250	TRBV29-1
GO:0002250	TRBC2
GO:0046631	TRBC2
GO:0050852	TRBC2
GO:0006355	NFILZ
GO:0006366	NFILZ
GO:0006955	NFILZ
GO:0006355	A0A7P0TAN4
GO:0007186	GNG5B
GO:0006368	ELOA3BP
GO:0006368	A0A8I5KDJ8
GO:0006368	ELOA3DP
GO:0000028	RPSAP58
GO:0006412	RPSAP58
GO:0007155	RPSAP58
GO:0006172	AK4P3
GO:0016310	AK4P3
GO:0046033	AK4P3
GO:0046034	AK4P3
GO:0046039	AK4P3
GO:0046940	AK4P3
GO:0002244	RBM47
GO:0016554	RBM47
GO:0007224	TTC26
GO:0015031	TTC26
GO:0035082	TTC26
GO:0035720	TTC26
GO:0042073	TTC26
GO:0060271	TTC26
GO:0060271	TTC26
GO:0060271	TTC26
GO:0061512	TTC26
GO:1905198	TTC26
GO:0007520	FER1L5
GO:0000209	TMEM129
GO:0006986	TMEM129
GO:0016567	TMEM129
GO:0030433	TMEM129
GO:0030970	TMEM129
GO:0000122	E2F8
GO:0000122	E2F8
GO:0001890	E2F8
GO:0002040	E2F8
GO:0032466	E2F8
GO:0032877	E2F8
GO:0033301	E2F8
GO:0045944	E2F8
GO:0048144	E2F8
GO:0060707	E2F8
GO:0060718	E2F8
GO:0070365	E2F8
GO:0006511	UBA6
GO:0007612	UBA6
GO:0007626	UBA6
GO:0016567	UBA6
GO:0016567	UBA6
GO:0021764	UBA6
GO:0021766	UBA6
GO:0060996	UBA6
GO:0006869	ESYT2
GO:0006897	ESYT2
GO:0061817	ESYT2
GO:0006869	ESYT3
GO:0061817	ESYT3
GO:0002250	TRAV38-2DV8
GO:0002250	TRDV2
GO:0045087	TRDV2
GO:0002250	TRDV3
GO:0045087	TRDV3
GO:0032968	MED19
GO:0051123	MED19
GO:0060261	MED19
GO:0034498	UHRF1BP1L
GO:0120009	UHRF1BP1L
GO:0002250	IGLC7
GO:0050853	IGLC7
GO:0006930	SHTN1
GO:0007265	SHTN1
GO:0007409	SHTN1
GO:0032488	SHTN1
GO:0038007	SHTN1
GO:0045773	SHTN1
GO:0048812	SHTN1
GO:0060327	SHTN1
GO:0061163	SHTN1
GO:0061573	SHTN1
GO:2000114	SHTN1
GO:2001224	SHTN1
GO:0008645	SLC5A10
GO:0035725	SLC5A10
GO:1904659	SLC5A10
GO:0033617	TMEM223
GO:0030154	DAPL1
GO:0090090	SHISA3
GO:0000122	FEZF1
GO:0007411	FEZF1
GO:0008285	FEZF1
GO:0021772	FEZF1
GO:0021797	FEZF1
GO:0043697	FEZF1
GO:0045666	FEZF1
GO:0045893	FEZF1
GO:0050767	FEZF1
GO:1904936	FEZF1
GO:0016266	GXYLT2
GO:0008150	TMEM120B
GO:0045444	TMEM120B
GO:0051291	TMEM120B
GO:0007605	CLRN2
GO:0060088	CLRN2
GO:0120045	CLRN2
GO:1903401	SLC66A1L
GO:1990822	SLC66A1L
GO:0007165	ARHGAP10
GO:0050790	ARHGAP10
GO:0051056	ARHGAP10
GO:0000045	IRGM
GO:0001934	IRGM
GO:0006954	IRGM
GO:0010508	IRGM
GO:0010508	IRGM
GO:0010508	IRGM
GO:0010800	IRGM
GO:0031648	IRGM
GO:0033138	IRGM
GO:0042742	IRGM
GO:0043254	IRGM
GO:0045087	IRGM
GO:0050821	IRGM
GO:0050829	IRGM
GO:0060335	IRGM
GO:0061635	IRGM
GO:0061739	IRGM
GO:0061762	IRGM
GO:0070431	IRGM
GO:0071222	IRGM
GO:0071902	IRGM
GO:0098586	IRGM
GO:1901098	IRGM
GO:0006366	FAM170A
GO:0006366	FAM170A
GO:0045893	FAM170A
GO:0045893	FAM170A
GO:0006629	ANO9
GO:0006821	ANO9
GO:0034220	ANO9
GO:0051649	ANO9
GO:0061589	ANO9
GO:0061590	ANO9
GO:0061591	ANO9
GO:1902939	ANO9
GO:0006811	SLC22A23
GO:0055085	SLC22A23
GO:0001934	ODAM
GO:0006954	ODAM
GO:0010628	ODAM
GO:0031214	ODAM
GO:0032956	ODAM
GO:0042475	ODAM
GO:0043547	ODAM
GO:0060054	ODAM
GO:0050790	ARHGEF37
GO:0006979	PXDNL
GO:0042744	PXDNL
GO:0090305	PXDNL
GO:0090305	PXDNL
GO:0098869	PXDNL
GO:0098869	PXDNL
GO:0001561	ILVBL
GO:0032981	NDUFAF8
GO:0006915	SYCE3
GO:0007130	SYCE3
GO:0007131	SYCE3
GO:0007283	SYCE3
GO:0035234	SYCE3
GO:0043065	SYCE3
GO:0051094	SYCE3
GO:0051301	SYCE3
GO:2000243	SYCE3
GO:0030334	PLEKHG3
GO:0050790	PLEKHG3
GO:0051056	PLEKHG3
GO:2000114	PLEKHG3
GO:0006636	ELOVL7
GO:0019367	ELOVL7
GO:0034626	ELOVL7
GO:0035338	ELOVL7
GO:0042761	ELOVL7
GO:0042761	ELOVL7
GO:0006897	SSC5D
GO:0032717	SSC5D
GO:0042494	SSC5D
GO:0045087	SSC5D
GO:0050829	SSC5D
GO:0050830	SSC5D
GO:0001501	SH3PXD2B
GO:0001654	SH3PXD2B
GO:0006801	SH3PXD2B
GO:0007507	SH3PXD2B
GO:0022617	SH3PXD2B
GO:0030154	SH3PXD2B
GO:0050790	SH3PXD2B
GO:0060348	SH3PXD2B
GO:0060612	SH3PXD2B
GO:0071800	SH3PXD2B
GO:0072657	SH3PXD2B
GO:0007007	CIBAR1
GO:0035108	CIBAR1
GO:0045880	CIBAR1
GO:0060271	CIBAR1
GO:0060271	CIBAR1
GO:0061024	CIBAR1
GO:0097749	CIBAR1
GO:0008285	ZBTB7C
GO:0045600	ZBTB7C
GO:0045944	ZBTB7C
GO:1903025	ZBTB7C
GO:0006974	MACROD2
GO:0007420	MACROD2
GO:0009617	MACROD2
GO:0042278	MACROD2
GO:0051725	MACROD2
GO:0140291	MACROD2
GO:0061158	ZC3H12D
GO:0006470	PTPDC1
GO:0006351	BCLAF3
GO:0003009	CCDC78
GO:0030030	CCDC78
GO:0098535	CCDC78
GO:0002250	IGKV2-29
GO:0032508	HFM1
GO:0000956	NBAS
GO:0006890	NBAS
GO:0006890	NBAS
GO:0015031	NBAS
GO:2000623	NBAS
GO:0006435	TARS3
GO:0008150	TARS3
GO:0002244	HEATR9
GO:0008104	TESPA1
GO:0010387	TESPA1
GO:0033077	TESPA1
GO:0033089	TESPA1
GO:0036399	TESPA1
GO:0050862	TESPA1
GO:0006554	HYKK
GO:0016310	HYKK
GO:0007420	HMX2
GO:0030154	HMX2
GO:0042472	HMX2
GO:0048026	HMX2
GO:0050673	HMX2
GO:0050679	HMX2
GO:0072089	HMX2
GO:2000648	HMX2
GO:0006302	MEIOC
GO:0007130	MEIOC
GO:0007286	MEIOC
GO:0048599	MEIOC
GO:0051310	MEIOC
GO:0051729	MEIOC
GO:0070192	MEIOC
GO:0001578	CCDC66
GO:0001895	CCDC66
GO:0050908	CCDC66
GO:0060271	CCDC66
GO:1903564	CCDC66
GO:0031591	TYW5
GO:0031591	TYW5
GO:0001701	MYBPHL
GO:0008150	MYBPHL
GO:0008333	DENND3
GO:0030163	DENND3
GO:0050790	DENND3
GO:0007586	CLPSL1
GO:0016042	CLPSL1
GO:0050790	CLPSL1
GO:0035556	DCDC2B
GO:0006004	FUOM
GO:0006004	FUOM
GO:0016055	TMEM131L
GO:0033088	TMEM131L
GO:0090090	TMEM131L
GO:0002684	SSPOP
GO:0007155	SSPOP
GO:0007399	SSPOP
GO:0030154	SSPOP
GO:0043086	SSPOP
GO:0048584	SSPOP
GO:0052547	SSPOP
GO:0007186	OR2M5
GO:0050911	OR2M5
GO:0006979	GPX6
GO:0098869	GPX6
GO:0098869	GPX6
GO:0008150	SBNO1
GO:0048583	SBNO1
GO:0008284	PRAMEF22
GO:0043066	PRAMEF22
GO:0045596	PRAMEF22
GO:0045892	PRAMEF22
GO:0008284	PRAMEF27
GO:0043066	PRAMEF27
GO:0045596	PRAMEF27
GO:0045892	PRAMEF27
GO:0007411	CRPPA
GO:0008299	CRPPA
GO:0035269	CRPPA
GO:0035269	CRPPA
GO:0030162	GSAP
GO:1902004	GSAP
GO:0042254	GTPBP10
GO:0006511	WDR91
GO:0042176	WDR91
GO:0043551	WDR91
GO:0045022	WDR91
GO:0045022	WDR91
GO:0006508	PRSS37
GO:0007339	PRSS37
GO:0008354	PRSS37
GO:0016477	PRSS37
GO:0051604	PRSS37
GO:0070613	PRSS37
GO:1905516	PRSS37
GO:2000344	PRSS37
GO:0050790	DENND11
GO:0006470	CDC14C
GO:0007283	SPATA48
GO:0008150	SPATA48
GO:0030154	SPATA48
GO:0008334	MBLAC1
GO:0031124	MBLAC1
GO:0090502	MBLAC1
GO:1900087	MBLAC1
GO:0016310	PMS2P1
GO:0007186	OR2A25
GO:0060292	GRID2IP
GO:0099072	GRID2IP
GO:0099566	GRID2IP
GO:0006302	EME2
GO:0031297	EME2
GO:0090305	EME2
GO:0090305	EME2
GO:0055085	SLC35F4
GO:0016310	PI4KAP2
GO:0003281	XIRP2
GO:0008150	XIRP2
GO:0045216	XIRP2
GO:0055008	XIRP2
GO:0001895	POTEF
GO:0010890	FITM1
GO:0034389	FITM1
GO:0140042	FITM1
GO:0016236	VPS37C
GO:0036258	VPS37C
GO:0036258	VPS37C
GO:0039702	VPS37C
GO:0043328	VPS37C
GO:0090148	VPS37C
GO:0003341	ODAD3
GO:0003341	ODAD3
GO:0003341	ODAD3
GO:0007283	ODAD3
GO:0007368	ODAD3
GO:0007420	ODAD3
GO:0030317	ODAD3
GO:0035264	ODAD3
GO:0036158	ODAD3
GO:0060287	ODAD3
GO:0061371	ODAD3
GO:0090660	ODAD3
GO:1902017	ODAD3
GO:0007288	CFAP69
GO:0030317	CFAP69
GO:0007608	CFAP69
GO:0042048	CFAP69
GO:1902093	CFAP69
GO:1905516	CFAP69
GO:1990834	CFAP69
GO:0006508	PSMB11
GO:0033077	PSMB11
GO:0043374	PSMB11
GO:0007165	PSD
GO:0031175	PSD
GO:0032012	PSD
GO:0050790	PSD
GO:0008150	KRBA1
GO:0006631	PEDS1
GO:0008611	PEDS1
GO:0008611	PEDS1
GO:0006888	TRAPPC13
GO:0006901	TRAPPC13
GO:0099022	TRAPPC13
GO:0007210	HTR3E
GO:0060079	HTR3E
GO:0098662	HTR3E
GO:0000122	CNOT1
GO:0000289	CNOT1
GO:0001829	CNOT1
GO:0010606	CNOT1
GO:0017148	CNOT1
GO:0033147	CNOT1
GO:0035195	CNOT1
GO:0035195	CNOT1
GO:0048387	CNOT1
GO:0060213	CNOT1
GO:0060213	CNOT1
GO:0061014	CNOT1
GO:0090503	CNOT1
GO:1900153	CNOT1
GO:2000036	CNOT1
GO:0035499	CARNS1
GO:0035499	CARNS1
GO:0006548	CARNS1
GO:0035499	CARNS1
GO:0010842	MEGF11
GO:0034109	MEGF11
GO:0007156	CDHR4
GO:0006914	TMEM150B
GO:0043086	PINLYP
GO:0001819	CCDC88B
GO:0042102	CCDC88B
GO:0042832	CCDC88B
GO:0050870	CCDC88B
GO:0006270	GMNC
GO:0007049	GMNC
GO:0060271	GMNC
GO:0007586	LRCOL1
GO:0016042	LRCOL1
GO:0050790	LRCOL1
GO:0008284	NKX2-6
GO:0021854	NKX2-6
GO:0030154	NKX2-6
GO:0030855	NKX2-6
GO:0035050	NKX2-6
GO:0035050	NKX2-6
GO:0043066	NKX2-6
GO:0043586	NKX2-6
GO:0045944	NKX2-6
GO:0048565	NKX2-6
GO:0050673	NKX2-6
GO:0050679	NKX2-6
GO:0055014	NKX2-6
GO:0055015	NKX2-6
GO:0060037	NKX2-6
GO:0060039	NKX2-6
GO:1904019	NKX2-6
GO:1904036	NKX2-6
GO:0007186	OR6C74
GO:0050911	OR6C74
GO:0006511	USP17L3
GO:0006915	USP17L3
GO:0007155	IZUMO1R
GO:0007338	IZUMO1R
GO:0007342	IZUMO1R
GO:0035036	IZUMO1R
GO:0030509	FAM83G
GO:0007186	OR14I1
GO:0050911	OR14I1
GO:0009435	ASPDH
GO:0001960	PALM3
GO:0008063	PALM3
GO:0008360	PALM3
GO:0032496	PALM3
GO:0006397	RBMY1B
GO:0007283	RBMY1B
GO:0008380	RBMY1B
GO:0008584	RBMY1B
GO:0006114	PGP
GO:0006650	PGP
GO:0045721	PGP
GO:0007186	OR5H15
GO:0050911	OR5H15
GO:0007186	OR6C68
GO:0050911	OR6C68
GO:0000423	RIMOC1
GO:0007160	TMEM8B
GO:0007346	TMEM8B
GO:0045944	ZNF840P
GO:0009615	BTBD17
GO:0045071	BTBD17
GO:0006325	RCCD1
GO:0032259	FAM86C2P
GO:0006397	RBMY1E
GO:0008380	RBMY1E
GO:0007186	OR5K3
GO:0050911	OR5K3
GO:0106074	PRORSD1P
GO:0051028	POM121B
GO:0008585	CCDC182
GO:0000122	NUPR2
GO:0006974	NUPR2
GO:0007049	NUPR2
GO:0008285	NUPR2
GO:0009267	NUPR2
GO:0051726	NUPR2
GO:0007186	OR6C6
GO:0050911	OR6C6
GO:0006508	TRABD2B
GO:0016055	TRABD2B
GO:0030178	TRABD2B
GO:0031334	TRABD2B
GO:1904808	TRABD2B
GO:0007186	OR2W5P
GO:0050911	OR2W5P
GO:0000122	HELT
GO:0001967	HELT
GO:0006366	HELT
GO:0007417	HELT
GO:0009791	HELT
GO:0010259	HELT
GO:0021858	HELT
GO:0035264	HELT
GO:0045944	HELT
GO:0006334	NAP1L6P
GO:0007605	GRXCR2
GO:0033365	GRXCR2
GO:0060088	GRXCR2
GO:0006397	RBFOX3
GO:0008380	RBFOX3
GO:0010360	TCAF2
GO:0030335	TCAF2
GO:0090314	TCAF2
GO:0003341	CFAP73
GO:0036159	CFAP73
GO:0006508	PGPEP1L
GO:0003376	MFSD2B
GO:0006869	MFSD2B
GO:0008643	MFSD2B
GO:0055085	MFSD2B
GO:1901731	MFSD2B
GO:0034553	SDHAF1
GO:0007283	MGAT4D
GO:0030154	MGAT4D
GO:0060051	MGAT4D
GO:0007283	WIPF3
GO:0030154	WIPF3
GO:0007009	TLCD2
GO:0055091	TLCD2
GO:0071709	TLCD2
GO:0097035	TLCD2
GO:0000255	URAD
GO:0006144	URAD
GO:0008150	URAD
GO:0007601	PCARE
GO:0050896	PCARE
GO:0008284	PRAMEF25
GO:0043066	PRAMEF25
GO:0045596	PRAMEF25
GO:0045892	PRAMEF25
GO:0007015	OOEP
GO:0008150	OOEP
GO:0031297	OOEP
GO:0032880	OOEP
GO:0045836	OOEP
GO:0051293	OOEP
GO:0051302	OOEP
GO:0070201	OOEP
GO:1905168	OOEP
GO:2000781	OOEP
GO:0006508	GGT3P
GO:0006750	GGT3P
GO:0008150	GGT3P
GO:1901750	GGT3P
GO:0007186	OR51F1
GO:0050911	OR51F1
GO:0007186	OR2T8
GO:0050911	OR2T8
GO:1902389	GLTPD2
GO:0008654	SERINC4
GO:0007186	OR4C46
GO:0050911	OR4C46
GO:0007586	CAPN8
GO:0007186	OR5H14
GO:0050911	OR5H14
GO:0045299	OTOL1
GO:0051260	OTOL1
GO:0045737	SPDYE2B
GO:0001835	FBLL1
GO:0006357	EPOP
GO:0035616	EPOP
GO:0048863	EPOP
GO:0006302	SMCHD1
GO:0009048	SMCHD1
GO:0043584	SMCHD1
GO:0043584	SMCHD1
GO:0045739	SMCHD1
GO:0051276	SMCHD1
GO:0060820	SMCHD1
GO:2000042	SMCHD1
GO:2001034	SMCHD1
GO:0007420	HMX3
GO:0007566	HMX3
GO:0030154	HMX3
GO:0042472	HMX3
GO:0050885	HMX3
GO:0060135	HMX3
GO:1904262	CASTOR2
GO:0007165	ANKDD1B
GO:0001756	MSGN1
GO:0007379	MSGN1
GO:0030154	MSGN1
GO:0045944	MSGN1
GO:0003085	ARHGAP42
GO:0007165	ARHGAP42
GO:0035024	ARHGAP42
GO:0090630	ARHGAP42
GO:1904694	ARHGAP42
GO:0042475	CCDC154
GO:0044691	CCDC154
GO:0045453	CCDC154
GO:0007517	MYMK
GO:0007520	MYMK
GO:0007520	MYMK
GO:0014905	MYMK
GO:0045026	MYMK
GO:1904206	MYMK
GO:0050790	NCF1B
GO:0032695	LILRA5
GO:0032696	LILRA5
GO:0032731	LILRA5
GO:0032731	LILRA5
GO:0032733	LILRA5
GO:0032755	LILRA5
GO:0032755	LILRA5
GO:0032760	LILRA5
GO:0032760	LILRA5
GO:0043410	LILRA5
GO:0045087	LILRA5
GO:0050729	LILRA5
GO:0050729	LILRA5
GO:0050867	LILRA5
GO:0051928	LILRA5
GO:0061098	LILRA5
GO:0051255	CCDC69
GO:0042953	UNC119B
GO:0060271	UNC119B
GO:0007186	OR6C70
GO:0050911	OR6C70
GO:0015031	SLC15A5
GO:0015833	SLC15A5
GO:0055085	SLC15A5
GO:0035195	WTIP
GO:0001666	WTIP
GO:0007010	WTIP
GO:0022604	WTIP
GO:0030030	WTIP
GO:0035331	WTIP
GO:0045892	WTIP
GO:2000637	WTIP
GO:0045737	SPDYE5
GO:0000122	NKX6-3
GO:0001709	NKX6-3
GO:0030857	NKX6-3
GO:0035883	NKX6-3
GO:0045944	NKX6-3
GO:0045944	NKX6-3
GO:0070475	METTL15
GO:0070475	METTL15
GO:0051321	PRR19
GO:0045737	A6NJR5
GO:0001502	UNCX
GO:0006357	UNCX
GO:0007389	UNCX
GO:0021516	UNCX
GO:0021889	UNCX
GO:0035726	UNCX
GO:0045595	UNCX
GO:0002250	CD8B2
GO:0050776	CD8B2
GO:0006814	SLC9B1P1
GO:1902600	SLC9B1P1
GO:0007186	OR6C65
GO:0050911	OR6C65
GO:0008150	RIMBP3C
GO:0007144	TRIM75
GO:0002760	ACOD1
GO:0006952	ACOD1
GO:0006954	ACOD1
GO:0007566	ACOD1
GO:0032088	ACOD1
GO:0032480	ACOD1
GO:0034136	ACOD1
GO:0034144	ACOD1
GO:0035458	ACOD1
GO:0045824	ACOD1
GO:0050728	ACOD1
GO:0051607	ACOD1
GO:0071219	ACOD1
GO:0071222	ACOD1
GO:0071222	ACOD1
GO:0071222	ACOD1
GO:0071346	ACOD1
GO:0071347	ACOD1
GO:0071356	ACOD1
GO:0071393	ACOD1
GO:0072573	ACOD1
GO:2000379	ACOD1
GO:0009249	LIPT2
GO:0019752	LIPT2
GO:2000376	LIPT2
GO:0016567	ASB14
GO:0035556	ASB14
GO:0006357	ZNF98
GO:0007165	RASSF10
GO:0007399	RASSF10
GO:0050769	RASSF10
GO:2000179	RASSF10
GO:0006811	SLC22A20P
GO:0055085	SLC22A20P
GO:0008150	PCNX2
GO:0006334	TSPY2
GO:0007283	TSPY2
